0,8.1081e-07,1.9069
0,8.2082e-07,1.9123
0,8.3083e-07,1.9174
0,8.4084e-07,1.9224
0,8.5085e-07,1.9272
0,8.6086e-07,1.9317
0,8.7087e-07,1.9361
0,8.8088e-07,1.9402
0,8.9089e-07,1.9442
0,9.009e-07,1.948
0,9.1091e-07,1.9516
0,9.2092e-07,1.9549
0,9.3093e-07,1.9581
0,9.4094e-07,1.9611
0,9.5095e-07,1.964
0,9.6096e-07,1.9666
0,9.7097e-07,1.969
0,9.8098e-07,1.9713
0,9.9099e-07,1.9733
0,1.001e-06,1.9752
0,1.011e-06,1.9769
0,1.021e-06,1.9785
0,1.031e-06,1.9798
0,1.041e-06,1.981
0,1.0511e-06,1.982
0,1.0611e-06,1.9829
0,1.0711e-06,1.9836
0,1.0811e-06,1.9841
0,1.0911e-06,1.9845
0,1.1011e-06,1.9847
0,1.1111e-06,1.9847
0,1.1211e-06,1.9846
0,1.1311e-06,1.9844
0,1.1411e-06,1.9839
0,1.1512e-06,1.9834
0,1.1612e-06,1.9827
0,1.1712e-06,1.9819
0,1.1812e-06,1.9809
0,1.1912e-06,1.9798
0,1.2012e-06,1.9786
0,1.2112e-06,1.9772
0,1.2212e-06,1.9758
0,1.2312e-06,1.9742
0,1.2412e-06,1.9724
0,1.2513e-06,1.9706
0,1.2613e-06,1.9687
0,1.2713e-06,1.9666
0,1.2813e-06,1.9645
0,1.2913e-06,1.9622
0,1.3013e-06,1.9598
0,1.3113e-06,1.9574
0,1.3213e-06,1.9548
0,1.3313e-06,1.9522
0,1.3413e-06,1.9495
0,1.3514e-06,1.9467
0,1.3614e-06,1.9438
0,1.3714e-06,1.9409
0,1.3814e-06,1.9378
0,1.3914e-06,1.9347
0,1.4014e-06,1.9316
0,1.4114e-06,1.9284
0,1.4214e-06,1.9251
0,1.4314e-06,1.9217
0,1.4414e-06,1.9184
0,1.4515e-06,1.9149
0,1.4615e-06,1.9115
0,1.4715e-06,1.9079
0,1.4815e-06,1.9044
0,1.4915e-06,1.9008
0,1.5015e-06,1.8972
0,1.5115e-06,1.8935
0,1.5215e-06,1.8898
0,1.5315e-06,1.8861
0,1.5415e-06,1.8824
0,1.5516e-06,1.8787
0,1.5616e-06,1.8749
0,1.5716e-06,1.8712
0,1.5816e-06,1.8674
0,1.5916e-06,1.8637
0,1.6016e-06,1.8599
0,1.6116e-06,1.8561
0,1.6216e-06,1.8524
0,1.6316e-06,1.8486
0,1.6416e-06,1.8449
0,1.6517e-06,1.8412
0,1.6617e-06,1.8375
0,1.6717e-06,1.8338
0,1.6817e-06,1.8301
0,1.6917e-06,1.8265
0,1.7017e-06,1.8229
0,1.7117e-06,1.8193
0,1.7217e-06,1.8158
0,1.7317e-06,1.8123
0,1.7417e-06,1.8088
0,1.7518e-06,1.8054
0,1.7618e-06,1.802
0,1.7718e-06,1.7987
0,1.7818e-06,1.7954
0,1.7918e-06,1.7922
0,1.8018e-06,1.789
0,1.8118e-06,1.7859
0,1.8218e-06,1.7828
0,1.8318e-06,1.7798
0,1.8418e-06,1.7768
0,1.8519e-06,1.7739
0,1.8619e-06,1.7711
0,1.8719e-06,1.7683
0,1.8819e-06,1.7656
0,1.8919e-06,1.763
0,1.9019e-06,1.7604
0,1.9119e-06,1.7579
0,1.9219e-06,1.7555
0,1.9319e-06,1.7531
0,1.9419e-06,1.7508
0,1.952e-06,1.7486
0,1.962e-06,1.7465
0,1.972e-06,1.7445
0,1.982e-06,1.7425
0,1.992e-06,1.7406
0,2.002e-06,1.7388
0,2.012e-06,1.7371
0,2.022e-06,1.7354
0,2.032e-06,1.7339
0,2.042e-06,1.7324
0,2.0521e-06,1.731
0,2.0621e-06,1.7297
0,2.0721e-06,1.7285
0,2.0821e-06,1.7273
0,2.0921e-06,1.7263
0,2.1021e-06,1.7253
0,2.1121e-06,1.7244
0,2.1221e-06,1.7236
0,2.1321e-06,1.7229
0,2.1421e-06,1.7223
0,2.1522e-06,1.7217
0,2.1622e-06,1.7212
0,2.1722e-06,1.7209
0,2.1822e-06,1.7206
0,2.1922e-06,1.7204
0,2.2022e-06,1.7202
0,2.2122e-06,1.7202
0,2.2222e-06,1.7202
0,2.2322e-06,1.7203
0,2.2422e-06,1.7205
0,2.2523e-06,1.7208
0,2.2623e-06,1.7211
0,2.2723e-06,1.7216
0,2.2823e-06,1.7221
0,2.2923e-06,1.7227
0,2.3023e-06,1.7233
0,2.3123e-06,1.7241
0,2.3223e-06,1.7249
0,2.3323e-06,1.7257
0,2.3423e-06,1.7267
0,2.3524e-06,1.7277
0,2.3624e-06,1.7288
0,2.3724e-06,1.7299
0,2.3824e-06,1.7311
0,2.3924e-06,1.7324
0,2.4024e-06,1.7338
0,2.4124e-06,1.7352
0,2.4224e-06,1.7366
0,2.4324e-06,1.7381
0,2.4424e-06,1.7397
0,2.4525e-06,1.7413
0,2.4625e-06,1.743
0,2.4725e-06,1.7447
0,2.4825e-06,1.7465
0,2.4925e-06,1.7483
0,2.5025e-06,1.7502
0,2.5125e-06,1.7521
0,2.5225e-06,1.7541
0,2.5325e-06,1.7561
0,2.5425e-06,1.7581
0,2.5526e-06,1.7602
0,2.5626e-06,1.7623
0,2.5726e-06,1.7644
0,2.5826e-06,1.7666
0,2.5926e-06,1.7688
0,2.6026e-06,1.771
0,2.6126e-06,1.7732
0,2.6226e-06,1.7755
0,2.6326e-06,1.7778
0,2.6426e-06,1.7801
0,2.6527e-06,1.7824
0,2.6627e-06,1.7848
0,2.6727e-06,1.7871
0,2.6827e-06,1.7895
0,2.6927e-06,1.7918
0,2.7027e-06,1.7942
0,2.7127e-06,1.7966
0,2.7227e-06,1.799
0,2.7327e-06,1.8014
0,2.7427e-06,1.8038
0,2.7528e-06,1.8062
0,2.7628e-06,1.8085
0,2.7728e-06,1.8109
0,2.7828e-06,1.8133
0,2.7928e-06,1.8156
0,2.8028e-06,1.818
0,2.8128e-06,1.8203
0,2.8228e-06,1.8226
0,2.8328e-06,1.8249
0,2.8428e-06,1.8272
0,2.8529e-06,1.8294
0,2.8629e-06,1.8316
0,2.8729e-06,1.8338
0,2.8829e-06,1.836
0,2.8929e-06,1.8382
0,2.9029e-06,1.8403
0,2.9129e-06,1.8424
0,2.9229e-06,1.8444
0,2.9329e-06,1.8465
0,2.9429e-06,1.8484
0,2.953e-06,1.8504
0,2.963e-06,1.8523
0,2.973e-06,1.8542
0,2.983e-06,1.856
0,2.993e-06,1.8578
0,3.003e-06,1.8595
0,3.013e-06,1.8612
0,3.023e-06,1.8629
0,3.033e-06,1.8645
0,3.043e-06,1.8661
0,3.0531e-06,1.8676
0,3.0631e-06,1.869
0,3.0731e-06,1.8704
0,3.0831e-06,1.8718
0,3.0931e-06,1.8731
0,3.1031e-06,1.8744
0,3.1131e-06,1.8756
0,3.1231e-06,1.8767
0,3.1331e-06,1.8778
0,3.1431e-06,1.8788
0,3.1532e-06,1.8798
0,3.1632e-06,1.8807
0,3.1732e-06,1.8816
0,3.1832e-06,1.8824
0,3.1932e-06,1.8831
0,3.2032e-06,1.8838
0,3.2132e-06,1.8844
0,3.2232e-06,1.885
0,3.2332e-06,1.8855
0,3.2432e-06,1.8859
0,3.2533e-06,1.8863
0,3.2633e-06,1.8866
0,3.2733e-06,1.8869
0,3.2833e-06,1.8871
0,3.2933e-06,1.8872
0,3.3033e-06,1.8873
0,3.3133e-06,1.8873
0,3.3233e-06,1.8873
0,3.3333e-06,1.8872
0,3.3433e-06,1.887
0,3.3534e-06,1.8868
0,3.3634e-06,1.8866
0,3.3734e-06,1.8862
0,3.3834e-06,1.8858
0,3.3934e-06,1.8854
0,3.4034e-06,1.8849
0,3.4134e-06,1.8844
0,3.4234e-06,1.8837
0,3.4334e-06,1.8831
0,3.4434e-06,1.8824
0,3.4535e-06,1.8816
0,3.4635e-06,1.8808
0,3.4735e-06,1.8799
0,3.4835e-06,1.879
0,3.4935e-06,1.878
0,3.5035e-06,1.877
0,3.5135e-06,1.8759
0,3.5235e-06,1.8748
0,3.5335e-06,1.8737
0,3.5435e-06,1.8725
0,3.5536e-06,1.8712
0,3.5636e-06,1.87
0,3.5736e-06,1.8686
0,3.5836e-06,1.8673
0,3.5936e-06,1.8659
0,3.6036e-06,1.8644
0,3.6136e-06,1.863
0,3.6236e-06,1.8615
0,3.6336e-06,1.8599
0,3.6436e-06,1.8584
0,3.6537e-06,1.8568
0,3.6637e-06,1.8551
0,3.6737e-06,1.8535
0,3.6837e-06,1.8518
0,3.6937e-06,1.8501
0,3.7037e-06,1.8484
0,3.7137e-06,1.8466
0,3.7237e-06,1.8449
0,3.7337e-06,1.8431
0,3.7437e-06,1.8413
0,3.7538e-06,1.8395
0,3.7638e-06,1.8376
0,3.7738e-06,1.8358
0,3.7838e-06,1.8339
0,3.7938e-06,1.8321
0,3.8038e-06,1.8302
0,3.8138e-06,1.8283
0,3.8238e-06,1.8265
0,3.8338e-06,1.8246
0,3.8438e-06,1.8227
0,3.8539e-06,1.8208
0,3.8639e-06,1.8189
0,3.8739e-06,1.817
0,3.8839e-06,1.8152
0,3.8939e-06,1.8133
0,3.9039e-06,1.8115
0,3.9139e-06,1.8096
0,3.9239e-06,1.8078
0,3.9339e-06,1.8059
0,3.9439e-06,1.8041
0,3.954e-06,1.8023
0,3.964e-06,1.8006
0,3.974e-06,1.7988
0,3.984e-06,1.7971
0,3.994e-06,1.7953
0,4.004e-06,1.7936
0,4.014e-06,1.792
0,4.024e-06,1.7903
0,4.034e-06,1.7887
0,4.044e-06,1.7871
0,4.0541e-06,1.7855
0,4.0641e-06,1.784
0,4.0741e-06,1.7825
0,4.0841e-06,1.781
0,4.0941e-06,1.7796
0,4.1041e-06,1.7781
0,4.1141e-06,1.7768
0,4.1241e-06,1.7754
0,4.1341e-06,1.7741
0,4.1441e-06,1.7729
0,4.1542e-06,1.7717
0,4.1642e-06,1.7705
0,4.1742e-06,1.7693
0,4.1842e-06,1.7682
0,4.1942e-06,1.7672
0,4.2042e-06,1.7662
0,4.2142e-06,1.7652
0,4.2242e-06,1.7643
0,4.2342e-06,1.7634
0,4.2442e-06,1.7626
0,4.2543e-06,1.7618
0,4.2643e-06,1.7611
0,4.2743e-06,1.7604
0,4.2843e-06,1.7597
0,4.2943e-06,1.7591
0,4.3043e-06,1.7586
0,4.3143e-06,1.7581
0,4.3243e-06,1.7577
0,4.3343e-06,1.7573
0,4.3443e-06,1.7569
0,4.3544e-06,1.7566
0,4.3644e-06,1.7564
0,4.3744e-06,1.7562
0,4.3844e-06,1.7561
0,4.3944e-06,1.756
0,4.4044e-06,1.7559
0,4.4144e-06,1.7559
0,4.4244e-06,1.756
0,4.4344e-06,1.7561
0,4.4444e-06,1.7563
0,4.4545e-06,1.7565
0,4.4645e-06,1.7568
0,4.4745e-06,1.7571
0,4.4845e-06,1.7574
0,4.4945e-06,1.7578
0,4.5045e-06,1.7583
0,4.5145e-06,1.7588
0,4.5245e-06,1.7593
0,4.5345e-06,1.7599
0,4.5445e-06,1.7606
0,4.5546e-06,1.7613
0,4.5646e-06,1.762
0,4.5746e-06,1.7628
0,4.5846e-06,1.7636
0,4.5946e-06,1.7645
0,4.6046e-06,1.7654
0,4.6146e-06,1.7663
0,4.6246e-06,1.7673
0,4.6346e-06,1.7684
0,4.6446e-06,1.7694
0,4.6547e-06,1.7705
0,4.6647e-06,1.7717
0,4.6747e-06,1.7729
0,4.6847e-06,1.7741
0,4.6947e-06,1.7753
0,4.7047e-06,1.7766
0,4.7147e-06,1.7779
0,4.7247e-06,1.7792
0,4.7347e-06,1.7806
0,4.7447e-06,1.782
0,4.7548e-06,1.7834
0,4.7648e-06,1.7849
0,4.7748e-06,1.7864
0,4.7848e-06,1.7879
0,4.7948e-06,1.7894
0,4.8048e-06,1.7909
0,4.8148e-06,1.7925
0,4.8248e-06,1.7941
0,4.8348e-06,1.7957
0,4.8448e-06,1.7973
0,4.8549e-06,1.7989
0,4.8649e-06,1.8005
0,4.8749e-06,1.8022
0,4.8849e-06,1.8038
0,4.8949e-06,1.8055
0,4.9049e-06,1.8072
0,4.9149e-06,1.8089
0,4.9249e-06,1.8106
0,4.9349e-06,1.8122
0,4.9449e-06,1.8139
0,4.955e-06,1.8156
0,4.965e-06,1.8173
0,4.975e-06,1.819
0,4.985e-06,1.8207
0,4.995e-06,1.8224
0,5.005e-06,1.8241
0,5.015e-06,1.8257
0,5.025e-06,1.8274
0,5.035e-06,1.829
0,5.045e-06,1.8307
0,5.0551e-06,1.8323
0,5.0651e-06,1.8339
0,5.0751e-06,1.8355
0,5.0851e-06,1.837
0,5.0951e-06,1.8386
0,5.1051e-06,1.8401
0,5.1151e-06,1.8416
0,5.1251e-06,1.8431
0,5.1351e-06,1.8446
0,5.1451e-06,1.846
0,5.1552e-06,1.8475
0,5.1652e-06,1.8489
0,5.1752e-06,1.8502
0,5.1852e-06,1.8516
0,5.1952e-06,1.8529
0,5.2052e-06,1.8541
0,5.2152e-06,1.8554
0,5.2252e-06,1.8566
0,5.2352e-06,1.8578
0,5.2452e-06,1.8589
0,5.2553e-06,1.86
0,5.2653e-06,1.8611
0,5.2753e-06,1.8621
0,5.2853e-06,1.8631
0,5.2953e-06,1.864
0,5.3053e-06,1.8649
0,5.3153e-06,1.8658
0,5.3253e-06,1.8666
0,5.3353e-06,1.8674
0,5.3453e-06,1.8682
0,5.3554e-06,1.8688
0,5.3654e-06,1.8695
0,5.3754e-06,1.8701
0,5.3854e-06,1.8707
0,5.3954e-06,1.8712
0,5.4054e-06,1.8717
0,5.4154e-06,1.8721
0,5.4254e-06,1.8725
0,5.4354e-06,1.8728
0,5.4454e-06,1.8731
0,5.4555e-06,1.8733
0,5.4655e-06,1.8735
0,5.4755e-06,1.8737
0,5.4855e-06,1.8737
0,5.4955e-06,1.8738
0,5.5055e-06,1.8738
0,5.5155e-06,1.8737
0,5.5255e-06,1.8736
0,5.5355e-06,1.8735
0,5.5455e-06,1.8733
0,5.5556e-06,1.8731
0,5.5656e-06,1.8728
0,5.5756e-06,1.8724
0,5.5856e-06,1.8721
0,5.5956e-06,1.8716
0,5.6056e-06,1.8711
0,5.6156e-06,1.8706
0,5.6256e-06,1.8701
0,5.6356e-06,1.8694
0,5.6456e-06,1.8688
0,5.6557e-06,1.8681
0,5.6657e-06,1.8673
0,5.6757e-06,1.8665
0,5.6857e-06,1.8657
0,5.6957e-06,1.8648
0,5.7057e-06,1.8639
0,5.7157e-06,1.863
0,5.7257e-06,1.862
0,5.7357e-06,1.861
0,5.7457e-06,1.8599
0,5.7558e-06,1.8588
0,5.7658e-06,1.8576
0,5.7758e-06,1.8565
0,5.7858e-06,1.8553
0,5.7958e-06,1.854
0,5.8058e-06,1.8527
0,5.8158e-06,1.8514
0,5.8258e-06,1.8501
0,5.8358e-06,1.8487
0,5.8458e-06,1.8473
0,5.8559e-06,1.8459
0,5.8659e-06,1.8445
0,5.8759e-06,1.843
0,5.8859e-06,1.8415
0,5.8959e-06,1.84
0,5.9059e-06,1.8384
0,5.9159e-06,1.8369
0,5.9259e-06,1.8353
0,5.9359e-06,1.8337
0,5.9459e-06,1.8321
0,5.956e-06,1.8305
0,5.966e-06,1.8289
0,5.976e-06,1.8272
0,5.986e-06,1.8255
0,5.996e-06,1.8239
0,6.006e-06,1.8222
0,6.016e-06,1.8205
0,6.026e-06,1.8188
0,6.036e-06,1.8172
0,6.046e-06,1.8155
0,6.0561e-06,1.8138
0,6.0661e-06,1.8121
0,6.0761e-06,1.8104
0,6.0861e-06,1.8087
0,6.0961e-06,1.807
0,6.1061e-06,1.8053
0,6.1161e-06,1.8037
0,6.1261e-06,1.802
0,6.1361e-06,1.8004
0,6.1461e-06,1.7987
0,6.1562e-06,1.7971
0,6.1662e-06,1.7955
0,6.1762e-06,1.7939
0,6.1862e-06,1.7923
0,6.1962e-06,1.7908
0,6.2062e-06,1.7892
0,6.2162e-06,1.7877
0,6.2262e-06,1.7862
0,6.2362e-06,1.7847
0,6.2462e-06,1.7833
0,6.2563e-06,1.7819
0,6.2663e-06,1.7805
0,6.2763e-06,1.7791
0,6.2863e-06,1.7778
0,6.2963e-06,1.7765
0,6.3063e-06,1.7752
0,6.3163e-06,1.7739
0,6.3263e-06,1.7727
0,6.3363e-06,1.7716
0,6.3463e-06,1.7704
0,6.3564e-06,1.7693
0,6.3664e-06,1.7683
0,6.3764e-06,1.7672
0,6.3864e-06,1.7662
0,6.3964e-06,1.7653
0,6.4064e-06,1.7644
0,6.4164e-06,1.7635
0,6.4264e-06,1.7627
0,6.4364e-06,1.7619
0,6.4464e-06,1.7612
0,6.4565e-06,1.7605
0,6.4665e-06,1.7599
0,6.4765e-06,1.7593
0,6.4865e-06,1.7587
0,6.4965e-06,1.7582
0,6.5065e-06,1.7578
0,6.5165e-06,1.7574
0,6.5265e-06,1.757
0,6.5365e-06,1.7567
0,6.5465e-06,1.7565
0,6.5566e-06,1.7563
0,6.5666e-06,1.7561
0,6.5766e-06,1.756
0,6.5866e-06,1.7559
0,6.5966e-06,1.7559
0,6.6066e-06,1.756
0,6.6166e-06,1.7561
0,6.6266e-06,1.7562
0,6.6366e-06,1.7564
0,6.6466e-06,1.7567
0,6.6567e-06,1.757
0,6.6667e-06,1.7573
0,6.6767e-06,1.7577
0,6.6867e-06,1.7582
0,6.6967e-06,1.7587
0,6.7067e-06,1.7592
0,6.7167e-06,1.7598
0,6.7267e-06,1.7604
0,6.7367e-06,1.7611
0,6.7467e-06,1.7619
0,6.7568e-06,1.7627
0,6.7668e-06,1.7635
0,6.7768e-06,1.7644
0,6.7868e-06,1.7653
0,6.7968e-06,1.7663
0,6.8068e-06,1.7673
0,6.8168e-06,1.7683
0,6.8268e-06,1.7694
0,6.8368e-06,1.7706
0,6.8468e-06,1.7718
0,6.8569e-06,1.773
0,6.8669e-06,1.7743
0,6.8769e-06,1.7756
0,6.8869e-06,1.7769
0,6.8969e-06,1.7783
0,6.9069e-06,1.7797
0,6.9169e-06,1.7811
0,6.9269e-06,1.7826
0,6.9369e-06,1.7841
0,6.9469e-06,1.7857
0,6.957e-06,1.7872
0,6.967e-06,1.7888
0,6.977e-06,1.7905
0,6.987e-06,1.7921
0,6.997e-06,1.7938
0,7.007e-06,1.7955
0,7.017e-06,1.7972
0,7.027e-06,1.799
0,7.037e-06,1.8007
0,7.047e-06,1.8025
0,7.0571e-06,1.8043
0,7.0671e-06,1.8061
0,7.0771e-06,1.8079
0,7.0871e-06,1.8098
0,7.0971e-06,1.8116
0,7.1071e-06,1.8135
0,7.1171e-06,1.8154
0,7.1271e-06,1.8172
0,7.1371e-06,1.8191
0,7.1471e-06,1.821
0,7.1572e-06,1.8229
0,7.1672e-06,1.8248
0,7.1772e-06,1.8266
0,7.1872e-06,1.8285
0,7.1972e-06,1.8304
0,7.2072e-06,1.8323
0,7.2172e-06,1.8341
0,7.2272e-06,1.836
0,7.2372e-06,1.8378
0,7.2472e-06,1.8396
0,7.2573e-06,1.8415
0,7.2673e-06,1.8433
0,7.2773e-06,1.845
0,7.2873e-06,1.8468
0,7.2973e-06,1.8485
0,7.3073e-06,1.8503
0,7.3173e-06,1.852
0,7.3273e-06,1.8536
0,7.3373e-06,1.8553
0,7.3473e-06,1.8569
0,7.3574e-06,1.8585
0,7.3674e-06,1.8601
0,7.3774e-06,1.8616
0,7.3874e-06,1.8631
0,7.3974e-06,1.8646
0,7.4074e-06,1.866
0,7.4174e-06,1.8674
0,7.4274e-06,1.8688
0,7.4374e-06,1.8701
0,7.4474e-06,1.8714
0,7.4575e-06,1.8726
0,7.4675e-06,1.8738
0,7.4775e-06,1.8749
0,7.4875e-06,1.876
0,7.4975e-06,1.8771
0,7.5075e-06,1.8781
0,7.5175e-06,1.8791
0,7.5275e-06,1.88
0,7.5375e-06,1.8809
0,7.5475e-06,1.8817
0,7.5576e-06,1.8824
0,7.5676e-06,1.8832
0,7.5776e-06,1.8838
0,7.5876e-06,1.8844
0,7.5976e-06,1.885
0,7.6076e-06,1.8855
0,7.6176e-06,1.8859
0,7.6276e-06,1.8863
0,7.6376e-06,1.8866
0,7.6476e-06,1.8869
0,7.6577e-06,1.8871
0,7.6677e-06,1.8872
0,7.6777e-06,1.8873
0,7.6877e-06,1.8873
0,7.6977e-06,1.8873
0,7.7077e-06,1.8872
0,7.7177e-06,1.8871
0,7.7277e-06,1.8869
0,7.7377e-06,1.8866
0,7.7477e-06,1.8863
0,7.7578e-06,1.8859
0,7.7678e-06,1.8854
0,7.7778e-06,1.8849
0,7.7878e-06,1.8843
0,7.7978e-06,1.8837
0,7.8078e-06,1.883
0,7.8178e-06,1.8823
0,7.8278e-06,1.8815
0,7.8378e-06,1.8806
0,7.8478e-06,1.8797
0,7.8579e-06,1.8787
0,7.8679e-06,1.8777
0,7.8779e-06,1.8766
0,7.8879e-06,1.8754
0,7.8979e-06,1.8742
0,7.9079e-06,1.873
0,7.9179e-06,1.8717
0,7.9279e-06,1.8703
0,7.9379e-06,1.8689
0,7.9479e-06,1.8674
0,7.958e-06,1.8659
0,7.968e-06,1.8644
0,7.978e-06,1.8627
0,7.988e-06,1.8611
0,7.998e-06,1.8594
0,8.008e-06,1.8576
0,8.018e-06,1.8558
0,8.028e-06,1.854
0,8.038e-06,1.8521
0,8.048e-06,1.8502
0,8.0581e-06,1.8482
0,8.0681e-06,1.8463
0,8.0781e-06,1.8442
0,8.0881e-06,1.8422
0,8.0981e-06,1.8401
0,8.1081e-06,1.838
0,8.1181e-06,1.8358
0,8.1281e-06,1.8336
0,8.1381e-06,1.8314
0,8.1481e-06,1.8292
0,8.1582e-06,1.8269
0,8.1682e-06,1.8247
0,8.1782e-06,1.8224
0,8.1882e-06,1.8201
0,8.1982e-06,1.8177
0,8.2082e-06,1.8154
0,8.2182e-06,1.813
0,8.2282e-06,1.8107
0,8.2382e-06,1.8083
0,8.2482e-06,1.8059
0,8.2583e-06,1.8035
0,8.2683e-06,1.8011
0,8.2783e-06,1.7988
0,8.2883e-06,1.7964
0,8.2983e-06,1.794
0,8.3083e-06,1.7916
0,8.3183e-06,1.7892
0,8.3283e-06,1.7869
0,8.3383e-06,1.7845
0,8.3483e-06,1.7822
0,8.3584e-06,1.7799
0,8.3684e-06,1.7776
0,8.3784e-06,1.7753
0,8.3884e-06,1.773
0,8.3984e-06,1.7708
0,8.4084e-06,1.7685
0,8.4184e-06,1.7664
0,8.4284e-06,1.7642
0,8.4384e-06,1.7621
0,8.4484e-06,1.76
0,8.4585e-06,1.7579
0,8.4685e-06,1.7559
0,8.4785e-06,1.7539
0,8.4885e-06,1.7519
0,8.4985e-06,1.75
0,8.5085e-06,1.7481
0,8.5185e-06,1.7463
0,8.5285e-06,1.7446
0,8.5385e-06,1.7428
0,8.5485e-06,1.7412
0,8.5586e-06,1.7395
0,8.5686e-06,1.738
0,8.5786e-06,1.7365
0,8.5886e-06,1.735
0,8.5986e-06,1.7336
0,8.6086e-06,1.7323
0,8.6186e-06,1.731
0,8.6286e-06,1.7298
0,8.6386e-06,1.7287
0,8.6486e-06,1.7276
0,8.6587e-06,1.7266
0,8.6687e-06,1.7256
0,8.6787e-06,1.7248
0,8.6887e-06,1.724
0,8.6987e-06,1.7233
0,8.7087e-06,1.7226
0,8.7187e-06,1.722
0,8.7287e-06,1.7215
0,8.7387e-06,1.7211
0,8.7487e-06,1.7208
0,8.7588e-06,1.7205
0,8.7688e-06,1.7203
0,8.7788e-06,1.7202
0,8.7888e-06,1.7202
0,8.7988e-06,1.7202
0,8.8088e-06,1.7204
0,8.8188e-06,1.7206
0,8.8288e-06,1.7209
0,8.8388e-06,1.7213
0,8.8488e-06,1.7218
0,8.8589e-06,1.7223
0,8.8689e-06,1.723
0,8.8789e-06,1.7237
0,8.8889e-06,1.7245
0,8.8989e-06,1.7254
0,8.9089e-06,1.7264
0,8.9189e-06,1.7274
0,8.9289e-06,1.7286
0,8.9389e-06,1.7298
0,8.9489e-06,1.7311
0,8.959e-06,1.7326
0,8.969e-06,1.734
0,8.979e-06,1.7356
0,8.989e-06,1.7373
0,8.999e-06,1.739
0,9.009e-06,1.7408
0,9.019e-06,1.7427
0,9.029e-06,1.7447
0,9.039e-06,1.7467
0,9.049e-06,1.7489
0,9.0591e-06,1.7511
0,9.0691e-06,1.7534
0,9.0791e-06,1.7557
0,9.0891e-06,1.7581
0,9.0991e-06,1.7606
0,9.1091e-06,1.7632
0,9.1191e-06,1.7659
0,9.1291e-06,1.7686
0,9.1391e-06,1.7713
0,9.1491e-06,1.7742
0,9.1592e-06,1.7771
0,9.1692e-06,1.7801
0,9.1792e-06,1.7831
0,9.1892e-06,1.7862
0,9.1992e-06,1.7893
0,9.2092e-06,1.7925
0,9.2192e-06,1.7957
0,9.2292e-06,1.799
0,9.2392e-06,1.8024
0,9.2492e-06,1.8057
0,9.2593e-06,1.8092
0,9.2693e-06,1.8126
0,9.2793e-06,1.8161
0,9.2893e-06,1.8197
0,9.2993e-06,1.8233
0,9.3093e-06,1.8269
0,9.3193e-06,1.8305
0,9.3293e-06,1.8342
0,9.3393e-06,1.8378
0,9.3493e-06,1.8415
0,9.3594e-06,1.8453
0,9.3694e-06,1.849
0,9.3794e-06,1.8527
0,9.3894e-06,1.8565
0,9.3994e-06,1.8603
0,9.4094e-06,1.864
0,9.4194e-06,1.8678
0,9.4294e-06,1.8716
0,9.4394e-06,1.8753
0,9.4494e-06,1.879
0,9.4595e-06,1.8828
